card_id,chapter,chapter_number,number_in_chapter,combination,igbo_meanings,english_meanings
AFA-179,Chapter 12: Ora,12,3,Ora Aghali,Umunna | Ora | Ihe di n'igwe,Kindred | Collective | Something in group
AFA-180,Chapter 12: Ora,12,4,Ora Atulukpa,Ada | Umuada,First daughter | Daughters of the land
AFA-181,Chapter 12: Ora,12,5,Ora Ete,Akwa | Mmiri,Cry | Water
AFA-182,Chapter 12: Ora,12,6,Ora Ogwute,Utobo | Etiti nwa,Land monkey | Orangutan | Middle child
AFA-183,Chapter 12: Ora,12,7,Ora Obara,Ugo | Ugbene Ugo | Ekwensu | Ife Ekwensu | Itulu ugo | Abubo Ugo | Ihe N'emebi Ihe | Eshishe | Etiti Ehishe | Osu Eshise | Umu Anwu,Eagle | Eagle feather | Ekwensu | Something belonging to or influenced by Ekwensu | Something that spoils things | Afternoon | Daylight | Children of Light
AFA-184,Chapter 12: Ora,12,8,Ora Naabo,Eke | Okike | Ututu | Osisa Chi | Chi Ofufo | Oku,Eke day | Light | Day | Fire
AFA-185,Chapter 12: Ora,12,9,Ora Okara,Odogwu Ozala | Nwoke Ike | Ndi Nze,Zal the scorpion | Scorpio | Tough Stong Man | Titled men
AFA-186,Chapter 12: Ora,12,10,Ora Ose,Uta | Omalu,Arrow | Sickness | Scholar
AFA-187,Chapter 12: Ora,12,11,Ora Obi,Nwanne Enwe bu Edi | Enwe | Ndi otu okwu,Monkey’s relation or sibling is the Civet-cat | Lemur | Monkey | Monkey God | Group of friends | Discussion group | Relation
AFA-188,Chapter 12: Ora,12,12,Ora Odii,Ogba-golo-golo | Nti | Ichinti,Ogba-golo-golo plant | Ear | Deafness | To be hard of hearing | Concealed Sun.
AFA-189,Chapter 12: Ora,12,13,Ora Ofu,Mu | Nwa ‘Mu’ | Nwanne otu okwu,“Mu’s” Child | Relation of one mother
AFA-190,Chapter 12: Ora,12,14,Ora Ogheli,Nwata nwoke,Male child
AFA-191,Chapter 12: Ora,12,15,Ora Otule,Diokpara | Onye Isi,First son | Leader
AFA-192,Chapter 12: Ora,12,16,Ora Ululu,Ihe a juru aju,Something that is rejected
AFA-193,Chapter 13: Ose,13,1,Ose Aka,Anya Eji Afu Mmuo | Onye Agwu di n’anya | Onya Ala | Onye Efio,Spiritual eyes | One who is imbued with eye of Nne Agwu or One who sees the spirit | Mad person (Agwu inflicted madness) | Rascal person
AFA-194,Chapter 13: Ose,13,2,Ose Akwu,Ahia | Izu ahia,Market | Trade
AFA-195,Chapter 13: Ose,13,3,Ose Aghali,Igba Mmadu Apa | Ihe di ocha,To inflict injury on someone | Something that is clean or white
AFA-196,Chapter 13: Ose,13,4,Ose Atulukpa,Nsete ihe | Inwete ihe | Iganiru,Picking something up | Receiving something | Progressively moving forward
AFA-197,Chapter 13: Ose,13,5,Ose Ete,Oke Agwu | Inye mmadu ihe | Iseli ihe | Iwelu Ife gi,Oke Agwu | Give someone something | To pick something | Something that has been brought | To take something from you
AFA-198,Chapter 13: Ose,13,6,Ose Ogwute,Njidesi Ihe ma obu Mmadu Ike | Njide,Holding something or a person tight | To hold something | Earth’s magnetic pull | Tuber of food crops
AFA-199,Chapter 13: Ose,13,7,Ose Obara,Agwu Agwu | Anwu | Nzu | Ichi echichi | Oganiru | Ima nzu | Ihe di ocha,Agwu as God of Light | Symbol of purity | Title taking | Progress | Something white or that shines bright
AFA-200,Chapter 13: Ose,13,8,Ose Ora,Aka Uche | Uchechukwu | Iche echiche | Anya eji afu uzo | Anya kolu nenu | Onye obi ya kwefelu n’enu,Divine Mind | Universal Mind | Universal Consciousness | Thought | Thinking | The eye with which one sees the Spirit and the world | One whose eye is hanging up in the sky
AFA-201,Chapter 13: Ose,13,9,Ose Okara,Ihe a juru aju | Nwucha | Idi ocha | Onye Nze,Something rejected | To be clean | Ozo titled person
AFA-202,Chapter 13: Ose,13,10,Ose Naabo,Ihe e ji anya fu | Anya eji afu uzo | Ife afuruaya | Ihe nnene | Ihe ghere oghe,Something seen with the eye | Two eyes with which one sees the mortal world | Clairvoyant eyes | Spiritual eye | Something open
AFA-203,Chapter 13: Ose,13,11,Ose Obi,Ila di | Ahia | Izu Ahia,Sexual intercourse | Market | Trade
AFA-204,Chapter 13: Ose,13,12,Ose Odii,Dibia Oji | Nde Ana | Onye anya lulu ana | Onye anya dolu | Iwe,Ancient black mystics | Itinerant Igbo Dibias (Explorers) | One who has come to clarity | One who sees very deeply | To be angry
AFA-205,Chapter 13: Ose,13,13,Ose Ofu,Agwu | Oshi | Amosu,Agwu | Theft | Witchcraft
AFA-206,Chapter 13: Ose,13,14,Ose Ogheli,Iyi | Ife mmebi,Something spoiling | Total destroyer | Total loss
AFA-207,Chapter 13: Ose,13,15,Ose Otule,Onu | Obi Mbu | Anuli,"Sothis (Sirius), the brightest star in the sky | Joy | Happiness"
AFA-208,Chapter 13: Ose,13,16,Ose Ululu,Anya Nkiti | Anya eji-afu Mmadu | Ife a juru aju | Ulukpu | Agbulu Ukwu,Ordinary eyes | Physical eyes | Something that is rejected | Aether | Clouds | Cloud gatherer | Great Agbulu
AFA-209,Chapter 14: Ofu (Ovu),14,1,Ofu Aka,Aka Ndu | Ndu | Okike | Mgbakali,Life path | Life | Creation | Freedom
AFA-210,Chapter 14: Ofu (Ovu),14,2,Ofu Akwu,Chi Ukwu | Nzuko | Ogbako | Otukwu,Great spirit of limitlessness | Meeting | Gathering | Conference | Forest–Water–Mineral elemental world i.e. mind and memory realm of the earth
AFA-211,Chapter 14: Ofu (Ovu),14,3,Ofu Aghali,Ike Chukwu | Ife mmee | Igbupu obara,Spiritual activeness | Something bloody | Something causing bleeding
AFA-212,Chapter 14: Ofu (Ovu),14,4,Ofu Atulukpa,Ihe di mma | Ifeoma,Something good | Blessings
AFA-213,Chapter 14: Ofu (Ovu),14,5,Ofu Ete,Mkporu | Uru,Sorrow | Mourning
AFA-214,Chapter 14: Ofu (Ovu),14,6,Ofu Ijite or Ofu Ogwute,Ife e gbodoru egbodo | Ichi aka kwedo,Blockaid | Something struggling to move forward or succeed
AFA-215,Chapter 14: Ofu (Ovu),14,7,Ofu Obara,Iyi Akwu | Anwu Anwu | Nzu | Mmanya,Ether | Sun | Koalin | Symbolizing purity | Drink
AFA-216,Chapter 14: Ofu (Ovu),14,8,Ofu Ora,Chukwu | Anyanwu na Ubosi | Anyanwu na Agbala | Eziokwu | Okochi | Nwanya Anwu na Eze Enu | Ogilishi,God | The Absolute or Highest attainable state | Day and Night | Light and Darkness | Truth | Dry Season | Sun Woman and the Sky King | Ogilisi sacred plant
AFA-217,Chapter 14: Ofu (Ovu),14,9,Ofu Okala,Ifeocha ukwu na aka | Ofala,Ablution | Washing hands and feet | Celebration of the first half of reign
AFA-218,Chapter 14: Ofu (Ovu),14,10,Ofu Ose,Ajo nni | E ri nri na-adighi mmadu mma na e ri | Akpu,Bad food | Eating something that is not good for the body | Cassava plant
AFA-219,Chapter 14: Ofu (Ovu),14,11,Ofu Obi,Ajo jie | Ije na-adighi mma,Bad journey | Something not being good | Oneness
AFA-220,Chapter 14: Ofu (Ovu),14,12,Ofu Odii,Aru | Igbudo aja ani | Ndi Egede,Abomination | A committed act that requires cleansing | Ancestors who came into the world when the first abomination was committed
AFA-221,Chapter 14: Ofu (Ovu),14,13,Ofu Naabo,Afufu,Hardship | Suffering
AFA-222,Chapter 14: Ofu (Ovu),14,14,Ofu Ogheli,Okpu-Nwanyi-Nono | Ime Efio | Iko Ikpa,Great Matriach | Final Primogenital Authority | Rascality | Being heady
AFA-223,Chapter 14: Ofu (Ovu),14,15,Ofu Otule,Onu | Anuli,Sirius | Gladness
AFA-224,Chapter 14: Ofu (Ovu),14,16,Ofu Ululu,Njo | Ife jochali nio meche di mma,Bad | Something that was bad and later became good
AFA-225,Chapter 15: Otule,15,1,Otule Aka,Mkpu | Iti Mpku | Mkpuani,Loud announcement | Public announcement | To be loud | Anthill
AFA-226,Chapter 15: Otule,15,2,Otule Akwu,Uzu | Ihio Uzu,Noise | Make noise
AFA-227,Chapter 15: Otule,15,3,Otule Aghali,Iyi | Azu,Oath | fish
AFA-228,Chapter 15: Otule,15,4,Otule Atulukpa,Itakwuokwu | Ntamu,Whispering | Soliloquizing
AFA-229,Chapter 15: Otule,15,5,Otule Ete,Ila di | Utu | Uta | Igwe (Alusi Igwe) | Uta Igwe na-agba Ana | Enigwe na-agba Ana Uta | Onu/Oni | Onunu | Ogwugwu,Sex | Penis | Arrow | Igwe deity | Sagittarius | (Energetic) Hole | Void
AFA-230,Chapter 15: Otule,15,6,Otule Ijite or Otule Ogwute,Ikpu Ihe | Ikpu Aka n'Onu | Otinku (Okuko a ma na o bu oke) | Nne okuko | Ikpu Ife Joro Njo,To remove something | Male fowl | Female fowl | Remove or cover a bad thing
AFA-231,Chapter 15: Otule,15,7,Otule Obara,Ugo | Idi Aso,Eagle | Being holy
AFA-232,Chapter 15: Otule,15,8,Otule Ora,Okwu a nuru na nu | Inuru okwu,Words heard | Understood words
AFA-233,Chapter 15: Otule,15,9,Otule Okara,Igba Agba | Ika Ihe,Giving appointment | To give date for something | To fix something
AFA-234,Chapter 15: Otule,15,10,Otule Ose,Ajookwu | Ikwu Ajo Onu | Mma Oge | Ogbu Abani,Bad speech | Foul words | Provoking talk | Speaking with a bad mouth | Defensive Knife | Knife of time
AFA-235,Chapter 15: Otule,15,11,Otule Obi,Ile oma,Politeness | A display of goodness | Visibly good
AFA-236,Chapter 15: Otule,15,12,Otule Odii,Ihe di n'ukwu | Nnekwute ihe | Egbe | Ihe na ada uda,Something big or grand | Greatness | Gun | Something that makes a loud sound
AFA-237,Chapter 15: Otule,15,13,Otule Ofu,Ile oma,Politeness | A display of positivity | Visibly good
AFA-238,Chapter 15: Otule,15,14,Otule Ogheli,"Onye Ehio | Ehio | (Onye Evio, evio) | Nzuzu | Ofeke",Rascal someone | Rascally | Stupidity | Ignorant or unitiated person
AFA-239,Chapter 15: Otule,15,15,Otule Naabo,Okike | Ikpe abuo | Okwu n'uka,Okike instrument that talks | Two cases | Dispute
AFA-240,Chapter 15: Otule,15,16,Otule Ululu,Ahia Afo | Afo | Onu Ututu,Afo Market day | Earth | Land | Early (6am) in the morning
AFA-241,Chapter 16: Ululu,16,1,Ululu Aka,Ji | Ulu,Yam | Benefits | Favour
AFA-242,Chapter 16: Ululu,16,2,Ululu Akwu,Ajo nri mmadu riri | Nsi,Bad food eaten by somebody | Poison
AFA-243,Chapter 16: Ululu,16,3,Ululu Aghali,Ife Oriri,Edible thing | A thing that exists for eating
AFA-244,Chapter 16: Ululu,16,4,Ululu Atulukpa,Uha | Ilite Uwa,Gain | Accumulation | To gain benefit
AFA-245,Chapter 16: Ululu,16,5,Ululu Ete,Ede | Ndaghachi Azu | Anya mmiri,Coco-yam | Set back in life | Challenge/Pain
AFA-246,Chapter 16: Ululu,16,6,Ululu Ijite or Ululu Ogwute,Ji,Yam
AFA-247,Chapter 16: Ululu,16,7,Ululu Obara,Iri ife | Inwe mmeri,To win or be a winner
AFA-248,Chapter 16: Ululu,16,8,Ululu Ora,Aguu,Hunger
AFA-249,Chapter 16: Ululu,16,9,Ululu Okara,A kachaa a kaboo,Disappointment
AFA-250,Chapter 16: Ululu,16,10,Ululu Ose,Ukwuala | Ajo nri | Nsi,Cough | Bad food | Poison
AFA-251,Chapter 16: Ululu,16,11,Ululu Obi,Uha | Ilite uwa | Ihe nrite,Gain | Accumulation | To gain benefit
AFA-252,Chapter 16: Ululu,16,12,Ululu Odii,Akazu | Ajo nni | Ife nkwukwuli,Bribery | Bad food | Dirty business
AFA-253,Chapter 16: Ululu,16,13,Ululu Ofu,Nri | Ime nri | Ife oriri ime | Ihe oriri | Mana Mana,Food | Edible thing | Which exists for eating | Manna/Spirit food
AFA-254,Chapter 16: Ululu,16,14,Ululu Ogheli,Nri | Nri bi ife,Food | To eat poisoned food
AFA-255,Chapter 16: Ululu,16,15,Ululu Otule,Ube Okpoko | Uha | Ilite uva,Ube (the first tree on earth) | Gain | make profit
AFA-256,Chapter 16: Ululu,16,16,Ululu naabo,Ugwo | Iji ugwo,Debt
